player_id,username,name,rating,email,,Position
1,Jeffrey1,Jeffrey,7,Jeffrey1@gmail.com,,D
2,Alex2,Alex,3,Alex2@gmail.com,,
3,Vivien3,Vivien,8,Vivien3@gmail.com,,O
4,John4,John,4,John4@gmail.com,,O
5,Jonathan5,Jonathan,9,Jonathan5@gmail.com,,D
6,Khoman 6,Khoman ,6,Khoman 6@gmail.com,,O
7,Michael7,Michael,8,Michael7@gmail.com,,D
8,Frank8,Frank,9,Frank8@gmail.com,,O
9,Joeseph9,Joeseph,7,Joeseph9@gmail.com,,D
10,Jessica10,Jessica,7,Jessica10@gmail.com,,
11,Tom11,Tom,3,Tom11@gmail.com,,O
12,Sherman12,Sherman,5,Sherman12@gmail.com,,D
13,Karen13,Karen,7,Karen13@gmail.com,,O
14,Max14,Max,5,Max14@gmail.com,,
15,Jose15,Jose,8,Jose15@gmail.com,,D
16,Martin16,Martin,6,Martin16@gmail.com,,
17,Marcus17,Marcus,4,Marcus17@gmail.com,,O
18,Ryan18,Ryan,5,Ryan18@gmail.com,,D
19,Danny19,Danny,9,Danny19@gmail.com,,
20,Chris20,Chris,3,Chris20@gmail.com,,O
